Item,Link,Cost,Amount,total cost of,total,Gotten?
,,,,,32.15,FALSE
esp32 wroom,already own,0,1,0,,TRUE
TSOP38238,https://www.lcsc.com/product-detail/C141632.html,0.73,1,0.73,,FALSE
TSAL6200,https://www.lcsc.com/product-detail/C55528.html,0.83,1,0.83,,FALSE
PN532,https://www.aliexpress.us/item/3256806254348567.html,0.99,1,0.99,,FALSE
ST7789,https://www.aliexpress.us/item/2255799995721426.html,3.57,1,3.57,,FALSE
5x b3fs,https://www.lcsc.com/product-detail/C271750.html,1.07,1,1.07,,FALSE
5x TP4056 (moq),https://www.lcsc.com/product-detail/C16581.html,0.91,1,0.91,,FALSE
lipo battery,already own,0,1,0,,TRUE
MT3608 module,https://www.aliexpress.us/item/3256808032184992.html?,6.77,1,6.77,,FALSE
5x PCB (moq),n/a,5.3,1,5.3,,FALSE
switch,already own,0,1,0,,TRUE
1kΩ resistor,Can get for free,0,3,0,,TRUE
47-100Ω resistor,Can get for free,0,1,0,,TRUE
1.2kΩ resistor,Can get substitute for free,0,1,0,,TRUE
10uf capacitor,can get for free,0,2,0,,FALSE
2n2222a (2n2219 substitute),https://www.lcsc.com/product-detail/C118536.html,0.77,1,0.77,,FALSE
"LEDS (green, red)",already own,0,2,0,,TRUE
header pins,can get for free,0,2,0,,FALSE
aliexpress shipping,n/a,0,1,0,,FALSE
lcsc shipping,n/a,11.21,1,11.21,,FALSE
